StudentID,StudyHoursPerDay,AttendancePercentage,SleepHours,SocialMediaHours,PreviousExamScore,ParticipationInActivities,InternetUsageHours,FinalExamScore
1,3.621780831931537,59.25664644193098,5.570234102415435,4.036217965253388,74.31975269701556,0,5.668730624032385,73.1414886049302
2,7.655000144869414,77.0950473689179,5.4818727944319985,4.780088383148234,88.32593975799918,1,1.4604895580092832,100.0
3,6.123957592679836,93.64729179382041,9.437527483126221,1.5028073927549939,85.60965578740954,0,3.0957270118848483,100.0
4,5.190609389379256,86.61124432047805,5.497277199097036,3.7492445976419937,49.23399428162642,1,5.428015564888745,80.22263136974435
5,2.0921304830970557,90.32805739307248,5.6316983567717855,3.4304758988624924,48.954968184488436,1,3.792117553702343,71.24213498391693
6,2.0919616423534184,82.93916833553587,8.556389574507783,4.996982260729626,56.0904620646948,0,2.635872379850748,75.13133140855165
7,1.4065852851773961,84.61382822589263,6.69843905470324,5.436522362887564,61.66448358046223,1,5.537195577265945,72.04799654203848
8,7.063233020424546,92.45978257826596,8.660263341731088,0.07294062886432084,64.50733488450896,1,3.905288141030653,100.0
9,5.207805082202461,62.483400442959294,4.392196945386312,4.044119514352756,80.78183301000072,0,3.3229687885607326,74.77425575220909
10,5.956508044572319,74.47124818215703,6.925427162040306,0.3110147947183741,43.40082592995012,0,5.175868756963427,81.50329022574289
11,1.1440914600706171,61.06047209098011,4.201681601099696,3.2931519904641355,42.08036225356398,0,2.1995583227395583,49.79586155086972
12,7.78936896513396,99.38340039983234,4.375919220732127,1.7257963742620692,63.51463377663454,0,9.349711597678667,100.0
13,6.827098485602952,97.20296698433066,9.438624720066466,1.8406595971328472,81.82982152827883,1,8.809318881273152,100.0
14,2.486373774747933,51.9713405684253,4.835472226705571,2.1177510207141395,51.60612057738895,0,7.368585271664818,54.53907910611051
15,2.272774770449704,85.27875862578442,7.194524093651303,3.7277546942976607,78.49026887537511,0,1.955924448296106,79.84677387665982
16,2.283831568974037,96.26241587078329,6.466573615604239,2.0042997940126153,55.58968827641797,0,7.982895290227237,78.4176622149864
17,3.129695700716764,59.02876725636668,6.084059957553056,4.396194303541682,93.16516652881097,0,8.271615952981172,87.55322997859717
18,4.673295021425664,78.39726152763147,9.399000074123634,2.4271643134432184,93.741396655997,0,7.9098815594290395,100.0
19,4.023615130494811,95.77441487940209,4.1309403806529374,0.4101192018597517,57.83723225687959,1,2.0256929840731703,88.93191464089115
20,3.0386039813862933,51.69729892928994,7.982738117053534,4.702559054904643,53.79962523779443,0,6.795171613609883,64.09245492080244
21,5.282970263056656,84.871013362342,9.780366605281301,1.714549947556236,64.67823832397387,1,8.508923161744587,98.29978362633221
22,1.9764570245642927,64.86745036862754,7.361009100771051,2.5966012775955756,54.431895110808924,0,6.1961806109770095,64.35220590030877
23,3.0450125397465273,96.21980976882652,9.62093477219855,4.112663299331409,80.34303059750222,0,6.8176663770528005,98.02343980679596
24,3.564532903055842,98.55291225826838,4.313547275716143,1.994736942892272,89.56388107289713,0,5.1252713148367555,95.86882404718166
25,4.192489889519251,97.2133244556717,6.512759914444969,0.33951393688029374,80.38552785467303,0,5.758365878956473,100.0
